wav_path,spoof_score
../../datasets/evaluation-data/evaluation-set/common_voice_en_17840377.wav,1.0
../../datasets/evaluation-data/evaluation-set/b16f621005003d1bf231a54db3c2df45.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17391698.wav,1.0
../../datasets/evaluation-data/evaluation-set/ef7cca2cbc8f772e5ba31537f0b5d200.wav,0.9999999
../../datasets/evaluation-data/evaluation-set/common_voice_en_17627093.wav,0.99966633
../../datasets/evaluation-data/evaluation-set/french14.wav,0.9999441
../../datasets/evaluation-data/evaluation-set/common_voice_en_142106.wav,0.94835794
../../datasets/evaluation-data/evaluation-set/french28.wav,0.99999976
../../datasets/evaluation-data/evaluation-set/uyghur2.wav,0.012815186
../../datasets/evaluation-data/evaluation-set/eb0d13eae5faec92fe0ec28f92db56df.wav,0.9999999
../../datasets/evaluation-data/evaluation-set/1d36887f60172390645f04dcaaa635ef.wav,0.99999976
../../datasets/evaluation-data/evaluation-set/spanish162.wav,0.031548303
../../datasets/evaluation-data/evaluation-set/common_voice_en_17384726.wav,0.99758303
../../datasets/evaluation-data/evaluation-set/english465.wav,0.999466
../../datasets/evaluation-data/evaluation-set/english303.wav,0.013960515
../../datasets/evaluation-data/evaluation-set/taiwanese4.wav,0.99999905
../../datasets/evaluation-data/evaluation-set/mandarin47.wav,0.003964904
../../datasets/evaluation-data/evaluation-set/english471.wav,0.9998957
../../datasets/evaluation-data/evaluation-set/e9c8c324b1adf1efb3b93ffb50694817.wav,0.9999944
../../datasets/evaluation-data/evaluation-set/common_voice_en_17248476.wav,0.9971533
../../datasets/evaluation-data/evaluation-set/arabic69.wav,0.7387527
../../datasets/evaluation-data/evaluation-set/common_voice_en_17402863.wav,0.9998652
../../datasets/evaluation-data/evaluation-set/154027b772c64572e5a3c1625de0ee5a.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17403770.wav,0.9987041
../../datasets/evaluation-data/evaluation-set/common_voice_en_17252995.wav,0.9913306
../../datasets/evaluation-data/evaluation-set/common_voice_en_17248715.wav,0.99917585
../../datasets/evaluation-data/evaluation-set/common_voice_en_17250166.wav,0.98773044
../../datasets/evaluation-data/evaluation-set/common_voice_en_17885610.wav,0.99999964
../../datasets/evaluation-data/evaluation-set/common_voice_en_17453378.wav,0.55880654
../../datasets/evaluation-data/evaluation-set/spanish10.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17441797.wav,0.99994826
../../datasets/evaluation-data/evaluation-set/common_voice_en_17258089.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17272674.wav,0.9612624
../../datasets/evaluation-data/evaluation-set/common_voice_en_18129850.wav,0.9999548
../../datasets/evaluation-data/evaluation-set/uyghur3.wav,0.026382463
../../datasets/evaluation-data/evaluation-set/common_voice_en_17567630.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_13481.wav,0.9999993
../../datasets/evaluation-data/evaluation-set/cantonese8.wav,0.99741495
../../datasets/evaluation-data/evaluation-set/english6.wav,0.9190764
../../datasets/evaluation-data/evaluation-set/ecb5435524f0132d1d55be4b0495f97c.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17776236.wav,0.9999987
../../datasets/evaluation-data/evaluation-set/english100.wav,0.9999995
../../datasets/evaluation-data/evaluation-set/french15.wav,0.9883541
../../datasets/evaluation-data/evaluation-set/common_voice_en_17253269.wav,0.9999994
../../datasets/evaluation-data/evaluation-set/d9f524f475b169c1446b2b37c6c854de.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17256488.wav,0.9332492
../../datasets/evaluation-data/evaluation-set/common_voice_en_17250951.wav,0.9999995
../../datasets/evaluation-data/evaluation-set/6e3e097680d43495c5afea20a3d5c82b.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17512093.wav,1.0
../../datasets/evaluation-data/evaluation-set/french17.wav,0.9999962
../../datasets/evaluation-data/evaluation-set/common_voice_en_17272716.wav,0.9948436
../../datasets/evaluation-data/evaluation-set/uyghur1.wav,0.84019
../../datasets/evaluation-data/evaluation-set/korean5.wav,0.10672918
../../datasets/evaluation-data/evaluation-set/common_voice_en_17952214.wav,0.9309338
../../datasets/evaluation-data/evaluation-set/arabic95.wav,0.9981364
../../datasets/evaluation-data/evaluation-set/spanish149.wav,0.9999963
../../datasets/evaluation-data/evaluation-set/5f93182b42e8f12450049c20cd3799db.wav,1.0
../../datasets/evaluation-data/evaluation-set/be1311f1d716137190f7dfee7209e11f.wav,0.99999976
../../datasets/evaluation-data/evaluation-set/fccdf68c7fe194a08c7084a3c883302e.wav,0.9999994
../../datasets/evaluation-data/evaluation-set/52da1e821ca30516902fba860ecb5505.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17441795.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17270707.wav,0.94808257
../../datasets/evaluation-data/evaluation-set/german2.wav,0.56829405
../../datasets/evaluation-data/evaluation-set/common_voice_en_17624837.wav,0.643202
../../datasets/evaluation-data/evaluation-set/3a734fe931998ad9f477b6e74701dd6e.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_16048874.wav,0.99994123
../../datasets/evaluation-data/evaluation-set/japanese6.wav,0.99974865
../../datasets/evaluation-data/evaluation-set/common_voice_en_17280437.wav,0.99998844
../../datasets/evaluation-data/evaluation-set/common_voice_en_17254114.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17822122.wav,0.9978599
../../datasets/evaluation-data/evaluation-set/common_voice_en_17453420.wav,0.9055949
../../datasets/evaluation-data/evaluation-set/english512.wav,0.6022181
../../datasets/evaluation-data/evaluation-set/common_voice_en_17283670.wav,0.95823634
../../datasets/evaluation-data/evaluation-set/17b050325bbba20b3442477bcfb31c23.wav,1.0
../../datasets/evaluation-data/evaluation-set/english92.wav,0.017609667
../../datasets/evaluation-data/evaluation-set/spanish6.wav,0.99992704
../../datasets/evaluation-data/evaluation-set/english86.wav,0.9999949
../../datasets/evaluation-data/evaluation-set/common_voice_en_17256501.wav,0.49510428
../../datasets/evaluation-data/evaluation-set/common_voice_en_17250158.wav,0.9826187
../../datasets/evaluation-data/evaluation-set/common_voice_en_17256529.wav,0.9998623
../../datasets/evaluation-data/evaluation-set/common_voice_en_179965.wav,0.0018351263
../../datasets/evaluation-data/evaluation-set/common_voice_en_18187996.wav,0.9994837
../../datasets/evaluation-data/evaluation-set/common_voice_en_17747836.wav,0.9999994
../../datasets/evaluation-data/evaluation-set/98ceb96c807526320e52b235e4a019d0.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17507514.wav,0.9999875
../../datasets/evaluation-data/evaluation-set/common_voice_en_17252772.wav,0.9999995
../../datasets/evaluation-data/evaluation-set/common_voice_en_17254897.wav,0.0386246
../../datasets/evaluation-data/evaluation-set/english513.wav,0.5798665
../../datasets/evaluation-data/evaluation-set/kurdish3.wav,0.58211774
../../datasets/evaluation-data/evaluation-set/common_voice_en_17822137.wav,0.35661224
../../datasets/evaluation-data/evaluation-set/common_voice_en_134469.wav,0.9973205
../../datasets/evaluation-data/evaluation-set/common_voice_en_17955354.wav,0.97578967
../../datasets/evaluation-data/evaluation-set/1c99af73f9ec6eb6b864a08323778688.wav,0.99999964
../../datasets/evaluation-data/evaluation-set/common_voice_en_17453390.wav,0.99023587
../../datasets/evaluation-data/evaluation-set/common_voice_en_101565.wav,1.0
../../datasets/evaluation-data/evaluation-set/df5919df92975fdf71b49647306543ce.wav,1.0
../../datasets/evaluation-data/evaluation-set/english329.wav,0.9997855
../../datasets/evaluation-data/evaluation-set/common_voice_en_17650796.wav,0.9998288
../../datasets/evaluation-data/evaluation-set/common_voice_en_17296320.wav,0.9999907
../../datasets/evaluation-data/evaluation-set/arabic43.wav,0.9997758
../../datasets/evaluation-data/evaluation-set/common_voice_en_17885571.wav,1.0
../../datasets/evaluation-data/evaluation-set/common_voice_en_17455865.wav,0.99986494
