wav_path,prediction_score
Standardized_full_data/new_evaluation_wav_2/arabic85.wav,0.998411
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17270731.wav,0.025913449
Standardized_full_data/new_evaluation_wav_2/spanish6.wav,0.0002694865
Standardized_full_data/new_evaluation_wav_2/common_voice_en_18128784.wav,0.99997675
Standardized_full_data/new_evaluation_wav_2/french60.wav,0.0007831847
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17936033.wav,0.00028725207
Standardized_full_data/new_evaluation_wav_2/english122.wav,0.996777
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17392963.wav,0.018358568
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17935729.wav,8.216573e-06
Standardized_full_data/new_evaluation_wav_2/common_voice_en_120723.wav,1.10817755e-05
Standardized_full_data/new_evaluation_wav_2/english56.wav,0.85583955
Standardized_full_data/new_evaluation_wav_2/spanish122.wav,0.0016096549
Standardized_full_data/new_evaluation_wav_2/common_voice_en_123979.wav,0.03927748
Standardized_full_data/new_evaluation_wav_2/common_voice_en_142076.wav,0.00046573154
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17331139.wav,5.1284164e-06
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17822156.wav,8.459982e-06
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17252797.wav,4.7840817e-06
Standardized_full_data/new_evaluation_wav_2/common_voice_en_18106601.wav,0.99986815
Standardized_full_data/new_evaluation_wav_2/5f93182b42e8f12450049c20cd3799db.wav,0.0058615627
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17281015.wav,1.2340444e-05
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17260025.wav,0.9982632
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17251931.wav,0.9697094
Standardized_full_data/new_evaluation_wav_2/42ce59a719a83089d172f8024fc24f92.wav,0.0014172698
Standardized_full_data/new_evaluation_wav_2/french46.wav,0.0056336997
Standardized_full_data/new_evaluation_wav_2/arabic77.wav,0.7727133
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17822141.wav,9.8018545e-06
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17776286.wav,6.343671e-06
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17896085.wav,0.9999836
Standardized_full_data/new_evaluation_wav_2/arabic93.wav,0.9989847
Standardized_full_data/new_evaluation_wav_2/0a7df1919244d090046e04b3c6412b70.wav,0.27938706
Standardized_full_data/new_evaluation_wav_2/common_voice_en_18172305.wav,5.6360636e-06
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17147817.wav,0.9999912
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17586970.wav,8.7399065e-05
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17254897.wav,0.11231085
Standardized_full_data/new_evaluation_wav_2/italian29.wav,3.8253515e-05
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17959293.wav,0.00025333642
Standardized_full_data/new_evaluation_wav_2/common_voice_en_131649.wav,0.9999167
Standardized_full_data/new_evaluation_wav_2/english408.wav,0.00074805954
Standardized_full_data/new_evaluation_wav_2/spanish69.wav,0.99988806
Standardized_full_data/new_evaluation_wav_2/japanese6.wav,3.8388698e-05
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17248715.wav,0.95454925
Standardized_full_data/new_evaluation_wav_2/common_voice_en_142156.wav,6.6557736e-06
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17331199.wav,8.3438645e-06
Standardized_full_data/new_evaluation_wav_2/farsi2.wav,0.9970129
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17789941.wav,0.00014740598
Standardized_full_data/new_evaluation_wav_2/spanish35.wav,5.0442177e-05
Standardized_full_data/new_evaluation_wav_2/french44.wav,0.12088922
Standardized_full_data/new_evaluation_wav_2/french4.wav,9.787214e-05
Standardized_full_data/new_evaluation_wav_2/common_voice_en_148333.wav,0.0013975472
Standardized_full_data/new_evaluation_wav_2/common_voice_en_18044946.wav,8.608634e-05
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17256419.wav,0.21348332
Standardized_full_data/new_evaluation_wav_2/common_voice_en_142162.wav,9.104394e-06
Standardized_full_data/new_evaluation_wav_2/common_voice_en_15694.wav,0.9999237
Standardized_full_data/new_evaluation_wav_2/8d1301a79919f630b98c4b33ba197ac3.wav,0.9996551
Standardized_full_data/new_evaluation_wav_2/mandarin59.wav,0.9826676
Standardized_full_data/new_evaluation_wav_2/c015958f12f44ce1986d939ea32aaaed.wav,0.9617087
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17696623.wav,0.01941409
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17586921.wav,0.078779995
Standardized_full_data/new_evaluation_wav_2/ed0de1313bcd91acef32e5d36529db46.wav,0.0023028508
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17271700.wav,3.6030873e-05
Standardized_full_data/new_evaluation_wav_2/french59.wav,0.9937279
Standardized_full_data/new_evaluation_wav_2/english508.wav,0.9700945
Standardized_full_data/new_evaluation_wav_2/english141.wav,0.11611024
Standardized_full_data/new_evaluation_wav_2/common_voice_en_13813725.wav,5.4087148e-05
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17253269.wav,8.998308e-06
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17276804.wav,0.0011370936
Standardized_full_data/new_evaluation_wav_2/a068757aac0da71436e200e4d274c6cc.wav,0.99998605
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17272607.wav,0.9999809
Standardized_full_data/new_evaluation_wav_2/common_voice_en_171470.wav,0.25838712
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17270723.wav,0.99977916
Standardized_full_data/new_evaluation_wav_2/64b4bd55c6371cd700a5fcd143ac11fe.wav,0.9955733
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17371997.wav,0.99974185
Standardized_full_data/new_evaluation_wav_2/taiwanese4.wav,0.028763615
Standardized_full_data/new_evaluation_wav_2/english313.wav,0.9987648
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17403770.wav,4.6976944e-05
Standardized_full_data/new_evaluation_wav_2/english371.wav,0.99991196
Standardized_full_data/new_evaluation_wav_2/common_voice_en_18124866.wav,0.9998078
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17627093.wav,0.9999831
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17732986.wav,4.4237906e-05
Standardized_full_data/new_evaluation_wav_2/common_voice_en_17361472.wav,5.9882146e-05
